Flight_Number,Departure,Arrival,Departure_Time,Arrival_Time,Airline_Name,Plane_Type,Status
1282,GWD,ISB,2021-01-29 10:26:13,2021-01-30 00:36:12,Virgin Austrailia,Air-Bus,On-time
1284,ISB,GIL,2021-01-29 00:48:41,2021-01-29 15:07:07,Thai Airways,Air-Bus,On-time
1285,BHV,ISB,2020-12-16 17:38:15,2020-12-16 20:34:07,EVA Air,Air-Bus,On-time
1289,KHI,LHE,2021-01-26 09:32:28,2021-01-27 08:08:56,Virgin Austrailia,Air-Bus,On-time
1291,MUX,GIL,2021-01-12 18:00:35,2021-01-12 23:41:19,Air Canada,Air-Bus,On-time
1292,GIL,ISB,2020-12-08 01:43:50,2020-12-08 11:53:56,Thai Airways,Air-Bus,On-time
1294,GRT,BHV,2020-12-10 02:45:32,2020-12-10 21:16:41,EVA Air,Air-Bus,On-time
1296,MUX,GIL,2021-01-04 06:58:50,2021-01-05 06:56:54,Air France,Air-Bus,On-time
1297,GRT,UET,2021-01-16 23:35:08,2021-01-17 14:04:47,Qatar Airways,Air-Bus,On-time
1298,GRT,GWD,2021-01-22 21:14:23,2021-01-23 02:45:55,Thai Airways,Air-Bus,On-time
130,GIL,LHE,2020-12-17 11:13:48,2020-12-17 17:02:15,British Airways,Air-Bus,On-time
1301,KHI,GIL,2020-12-26 05:47:30,2020-12-26 22:49:46,Gulf Air,Air-Bus,On-time
1304,GWD,GRT,2021-01-19 15:39:34,2021-01-20 01:05:48,EVA Air,Air-Bus,On-time
1305,BHV,GWD,2020-12-15 14:09:29,2020-12-16 03:50:11,Serene Airways,Air-Bus,On-time
1309,ISB,GIL,2020-12-29 15:26:57,2020-12-30 06:08:18,Serene Airways,Air-Bus,On-time
1310,GWD,ISB,2020-12-06 08:15:54,2020-12-06 18:01:01,Qatar Airways,Air-Bus,On-time
1311,ISB,BHV,2021-01-16 13:45:21,2021-01-17 08:14:24,Virgin Austrailia,Air-Bus,On-time
1312,ISB,UET,2020-12-18 03:23:26,2020-12-18 14:29:05,Singapore Airlines,Air-Bus,On-time
1313,PEW,GIL,2020-12-29 05:55:26,2020-12-29 16:27:40,Air Canada,Air-Bus,On-time
1315,GRT,GWD,2020-12-13 09:09:09,2020-12-13 12:30:37,EVA Air,Air-Bus,On-time
1317,KHI,UET,2021-01-20 07:54:29,2021-01-20 20:38:07,American Airlines,Air-Bus,On-time
1320,GIL,GRT,2021-01-11 03:38:40,2021-01-11 08:03:25,British Airways,Air-Bus,On-time
1321,ISB,GIL,2021-01-30 02:12:17,2021-01-30 21:48:34,British Airways,Air-Bus,On-time
1322,LHE,KHI,2021-01-09 12:18:27,2021-01-10 11:36:51,Gulf Air,Air-Bus,On-time
1323,GIL,GRT,2021-01-14 13:19:49,2021-01-15 02:36:55,Serene Airways,Air-Bus,On-time
1333,LHE,UET,2020-12-23 07:18:16,2020-12-23 14:08:10,Etihad Airways,Air-Bus,On-time
1336,MUX,ISB,2020-12-19 21:39:04,2020-12-20 04:45:36,Virgin Austrailia,Air-Bus,On-time
1338,BHV,BHV,2021-01-09 12:04:32,2021-01-09 14:51:15,United Airlines,Air-Bus,On-time
1339,LHE,GRT,2020-12-03 18:10:04,2020-12-03 22:32:58,Singapore Airlines,Air-Bus,On-time
134,LHE,MUX,2021-01-08 09:32:52,2021-01-09 05:18:10,Turkish Airlines,Air-Bus,On-time
1340,GRT,KHI,2020-12-27 13:38:34,2020-12-27 15:48:16,Turkish Airlines,Air-Bus,On-time
1341,BHV,ISB,2021-01-20 15:33:25,2021-01-21 07:50:58,Air Blue,Air-Bus,On-time
1342,BHV,UET,2020-12-28 19:19:58,2020-12-29 07:37:30,Pia,Air-Bus,On-time
1344,KHI,LHE,2021-01-05 10:13:13,2021-01-06 02:05:10,Virgin Austrailia,Air-Bus,On-time
1347,KHI,LHE,2020-12-25 18:02:39,2020-12-26 07:42:38,IndiGo,Air-Bus,On-time
1349,BHV,GRT,2021-01-03 23:19:39,2021-01-04 13:00:47,Serene Airways,Air-Bus,On-time
1350,GRT,MUX,2021-01-28 12:24:09,2021-01-29 05:01:51,Air France,Air-Bus,On-time
1352,LHE,LHE,2021-01-18 03:23:24,2021-01-19 03:21:07,American Airlines,Air-Bus,On-time
1353,LHE,KHI,2021-01-27 01:03:36,2021-01-27 10:38:42,IndiGo,Air-Bus,On-time
1354,LHE,GRT,2020-12-08 14:38:58,2020-12-08 23:34:49,Fly Dubai,Air-Bus,On-time
1355,UET,MUX,2021-01-12 04:16:13,2021-01-12 06:28:53,Emirates,Air-Bus,On-time
1358,LHE,GWD,2020-12-27 13:16:05,2020-12-27 22:56:04,Gulf Air,Air-Bus,On-time
1360,MUX,GWD,2020-12-12 23:38:03,2020-12-13 02:08:53,Thai Airways,Air-Bus,On-time
1361,GWD,MUX,2021-01-10 07:50:19,2021-01-10 16:23:09,American Airlines,Air-Bus,On-time
1364,KHI,KHI,2020-12-15 06:23:28,2020-12-15 19:20:52,Air Blue,Air-Bus,On-time
1367,BHV,ISB,2021-01-25 14:20:36,2021-01-26 13:45:09,American Airlines,Air-Bus,On-time
137,GIL,MUX,2020-12-03 22:40:53,2020-12-04 18:49:35,United Airlines,Air-Bus,On-time
1370,BHV,PEW,2021-01-17 21:20:19,2021-01-18 03:36:22,Qatar Airways,Air-Bus,On-time
1371,BHV,BHV,2020-12-06 01:25:06,2020-12-06 20:47:49,Air France,Air-Bus,On-time
1372,UET,GRT,2021-01-18 10:11:20,2021-01-18 20:41:57,EVA Air,Air-Bus,On-time
1375,KHI,LHE,2021-01-07 21:25:55,2021-01-08 11:54:53,Fly Dubai,Air-Bus,On-time
1379,KHI,KHI,2021-01-06 00:23:07,2021-01-06 11:39:37,Qatar Airways,Air-Bus,On-time
1380,LHE,KHI,2021-01-28 13:03:23,2021-01-29 08:05:48,IndiGo,Air-Bus,On-time
1382,BHV,GIL,2020-12-16 06:39:32,2020-12-16 18:22:08,Pia,Air-Bus,On-time
1384,GRT,GIL,2020-12-12 23:30:56,2020-12-13 23:19:32,Turkish Airlines,Air-Bus,On-time
1387,GWD,PEW,2020-12-25 16:10:51,2020-12-26 04:47:12,Virgin Austrailia,Air-Bus,On-time
1388,ISB,MUX,2021-01-25 08:34:44,2021-01-25 12:38:35,Pia,Air-Bus,On-time
1389,ISB,MUX,2021-01-01 15:55:40,2021-01-02 14:41:23,IndiGo,Air-Bus,On-time
1390,BHV,GIL,2020-12-10 21:53:15,2020-12-11 18:02:22,United Airlines,Air-Bus,On-time
1394,GWD,UET,2020-12-15 01:15:47,2020-12-15 20:54:51,Gulf Air,Air-Bus,On-time
1395,MUX,BHV,2020-12-29 14:19:52,2020-12-30 00:42:24,Air China,Air-Bus,On-time
1397,BHV,GRT,2021-01-23 19:28:07,2021-01-24 06:25:05,Air China,Air-Bus,On-time
1398,ISB,UET,2021-01-15 19:37:55,2021-01-16 18:46:21,United Airlines,Air-Bus,On-time
14,GIL,GRT,2020-12-29 08:44:35,2020-12-30 01:12:40,United Airlines,Air-Bus,On-time
140,BHV,ISB,2021-01-18 14:31:33,2021-01-19 11:45:42,American Airlines,Air-Bus,On-time
1401,UET,PEW,2021-01-12 01:51:52,2021-01-13 01:40:36,Fly Dubai,Air-Bus,On-time
1402,ISB,ISB,2020-12-13 10:06:03,2020-12-14 02:21:22,Etihad Airways,Air-Bus,On-time
1406,GIL,UET,2020-12-21 04:30:32,2020-12-21 13:22:19,EVA Air,Air-Bus,On-time
1409,PEW,LHE,2021-01-12 15:42:40,2021-01-13 10:59:47,Air Blue,Air-Bus,On-time
141,BHV,KHI,2021-01-02 00:59:08,2021-01-02 22:35:29,Air France,Air-Bus,On-time
1411,GWD,LHE,2020-12-30 22:56:30,2020-12-31 07:38:37,Air France,Air-Bus,On-time
1414,LHE,GWD,2021-01-08 08:07:18,2021-01-09 04:35:22,Air France,Air-Bus,On-time
1415,ISB,GWD,2021-01-05 07:41:07,2021-01-05 22:23:05,Air Blue,Air-Bus,On-time
1418,GWD,PEW,2020-12-13 04:45:02,2020-12-13 20:15:33,Qatar Airways,Air-Bus,On-time
1420,PEW,GWD,2020-12-23 11:10:44,2020-12-23 23:45:01,IndiGo,Air-Bus,On-time
1422,GWD,BHV,2020-12-08 15:47:39,2020-12-09 01:36:36,American Airlines,Air-Bus,On-time
1425,GIL,GIL,2021-01-05 02:25:37,2021-01-05 17:07:04,Singapore Airlines,Air-Bus,On-time
1427,GIL,BHV,2021-01-23 05:04:41,2021-01-24 03:44:26,Air Blue,Air-Bus,On-time
1428,UET,GRT,2020-12-23 01:33:11,2020-12-23 16:31:49,American Airlines,Air-Bus,On-time
1430,LHE,MUX,2020-12-03 22:21:23,2020-12-04 09:28:10,Fly Dubai,Air-Bus,On-time
1431,GRT,MUX,2020-12-30 00:52:52,2020-12-31 00:47:53,Etihad Airways,Air-Bus,On-time
1432,LHE,KHI,2020-12-12 03:40:48,2020-12-12 09:46:39,British Airways,Air-Bus,On-time
1435,ISB,GWD,2020-12-14 03:00:27,2020-12-14 12:25:33,Thai Airways,Air-Bus,On-time
1439,GRT,UET,2020-12-23 03:40:55,2020-12-23 08:56:27,Serene Airways,Air-Bus,On-time
144,UET,GWD,2020-12-08 19:20:59,2020-12-09 08:08:43,American Airlines,Air-Bus,On-time
1440,LHE,GRT,2020-12-25 17:45:36,2020-12-26 00:01:44,IndiGo,Air-Bus,On-time
1441,KHI,GRT,2021-01-05 21:48:37,2021-01-06 02:31:38,Pia,Air-Bus,On-time
1445,KHI,MUX,2020-12-29 18:14:38,2020-12-30 15:24:13,United Airlines,Air-Bus,On-time
1446,PEW,BHV,2020-12-06 08:25:30,2020-12-06 13:59:22,Thai Airways,Air-Bus,On-time
1447,BHV,UET,2021-01-27 18:27:05,2021-01-27 23:47:57,Thai Airways,Air-Bus,On-time
